https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USDT
1622766360,2021-06-04 00:26:00,LTC/USDT,178.43432995,178.43432995,178.43432995,178.43432995,0.0,0.0
1622764800,2021-06-04 00:00:00,LTC/USDT,193.61021308,193.61021308,169.00000001,178.43432995,3234522.12831001,18232.71116704
1622680024,2021-06-03 00:27:04,LTC/USDT,193.35321053,193.35321053,193.35321053,193.35321053,0.0,0.0
1622678400,2021-06-03 00:00:00,LTC/USDT,187.06185478,197.65758019,182.0,193.35321053,1726758.47275723,9004.22807115
1622594905,2021-06-02 00:48:25,LTC/USDT,187.24910388,187.24910388,187.24910388,187.24910388,0.0,0.0
1622592000,2021-06-02 00:00:00,LTC/USDT,183.07585561,191.19519629,178.46765523,187.24910388,972303.55314733,5249.58778451
1622507089,2021-06-01 00:24:49,LTC/USDT,182.83757594,182.83757594,182.83757594,182.83757594,0.0,0.0
1622505600,2021-06-01 00:00:00,LTC/USDT,187.85138134,193.03589412,176.00583998,182.83757594,2435069.92496611,13454.31443455
1622420624,2021-05-31 00:23:44,LTC/USDT,187.88588116,187.88588116,187.88588116,187.88588116,0.0,0.0
1622419200,2021-05-31 00:00:00,LTC/USDT,170.4228,188.35138134,163.85875173,187.88588116,1968363.59372211,11088.86024778
1622334515,2021-05-30 00:28:35,LTC/USDT,170.82838191,170.82838191,170.82838191,170.82838191,0.0,0.0
1622332800,2021-05-30 00:00:00,LTC/USDT,163.95524441,180.9,155.3,170.82838191,1457327.20475141,8522.27259147
1622248065,2021-05-29 00:27:45,LTC/USDT,163.46385673,163.46385673,163.46385673,163.46385673,0.0,0.0
1622246400,2021-05-29 00:00:00,LTC/USDT,177.32190072,188.44751262,157.89359376,163.46385673,2811433.41868905,16271.7944254
1622161454,2021-05-28 00:24:14,LTC/USDT,177.35497038,177.35497038,177.35497038,177.35497038,0.0,0.0
1622160000,2021-05-28 00:00:00,LTC/USDT,194.39016306,198.68936138,165.27793643,177.35497038,3873213.76458477,21710.94801362
1622075193,2021-05-27 00:26:33,LTC/USDT,194.10079807,194.10079807,194.10079807,194.10079807,0.0,0.0
1622073600,2021-05-27 00:00:00,LTC/USDT,198.90218613,208.613173,180.724,194.10079807,3960666.45545292,20415.62719823
1621990206,2021-05-26 00:50:06,LTC/USDT,198.75391625,198.75391625,198.75391625,198.75391625,0.0,0.0
1621987200,2021-05-26 00:00:00,LTC/USDT,184.0,204.0,179.6462,198.75391625,6194944.67694205,31966.92879019
1621947652,2021-05-25 13:00:52,LTC/USDT,183.86752421,183.86752421,183.86752421,183.86752421,0.0,0.0
