https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EOS,Volume USDT
1623024000,2021-06-07 00:00:00,EOS/USDT,5.8489164,5.96361736,5.089,5.18873014,430958.83579597,77585.54448435
1622939123,2021-06-06 00:25:23,EOS/USDT,5.85345963,5.85345963,5.85345963,5.85345963,0.0,0.0
1622937600,2021-06-06 00:00:00,EOS/USDT,5.76825532,5.947,5.7310283,5.85345963,40898.03376071,7027.9359274
1622852932,2021-06-05 00:28:52,EOS/USDT,5.77496694,5.77496694,5.77496694,5.77496694,0.0,0.0
1622851200,2021-06-05 00:00:00,EOS/USDT,5.97744512,6.21564135,5.6461839,5.77496694,270922.85959864,45967.1912604
1622766360,2021-06-04 00:26:00,EOS/USDT,6.01195901,6.01195901,6.01195901,6.01195901,0.0,0.0
1622764800,2021-06-04 00:00:00,EOS/USDT,6.52722617,6.52722617,5.78453188,6.01195901,360803.70687342,59158.44131864
1622680024,2021-06-03 00:27:04,EOS/USDT,6.51823565,6.51823565,6.51823565,6.51823565,0.0,0.0
1622678400,2021-06-03 00:00:00,EOS/USDT,6.36625571,6.69430102,6.23312228,6.51823565,336013.13869793,51409.20492103
1622594905,2021-06-02 00:48:25,EOS/USDT,6.39360514,6.39360514,6.39360514,6.39360514,0.0,0.0
1622592000,2021-06-02 00:00:00,EOS/USDT,6.28866281,6.54062585,6.12973738,6.39360514,305741.24390715,48117.11850524
1622507089,2021-06-01 00:24:49,EOS/USDT,6.29446171,6.29446171,6.29446171,6.29446171,0.0,0.0
1622505600,2021-06-01 00:00:00,EOS/USDT,6.62985449,6.74957826,6.081,6.29446171,165699.10201953,26009.54215689
1622420624,2021-05-31 00:23:44,EOS/USDT,6.64828002,6.64828002,6.64828002,6.64828002,0.0,0.0
1622419200,2021-05-31 00:00:00,EOS/USDT,5.99913282,6.68012353,5.75215573,6.64828002,207132.99903439,33088.61797855
1622334515,2021-05-30 00:28:35,EOS/USDT,6.0530368,6.0530368,6.0530368,6.0530368,0.0,0.0
1622332800,2021-05-30 00:00:00,EOS/USDT,6.0,6.37058518,5.55000222,6.0530368,297889.855555,49397.68626201
1622248065,2021-05-29 00:27:45,EOS/USDT,6.0,6.0,6.0,6.0,0.0,0.0
1622246400,2021-05-29 00:00:00,EOS/USDT,6.09928179,6.8,5.7543605,6.0,539195.29849685,85929.6490291
1622161454,2021-05-28 00:24:14,EOS/USDT,6.1198669,6.1198669,6.1198669,6.1198669,0.0,0.0
1622160000,2021-05-28 00:00:00,EOS/USDT,6.95409723,7.06588092,5.84517142,6.1198669,918633.36962039,149413.16176728
1622075193,2021-05-27 00:26:33,EOS/USDT,6.99477821,6.99477821,6.99477821,6.99477821,0.0,0.0
1622073600,2021-05-27 00:00:00,EOS/USDT,6.44042552,7.6466343,6.06896551,6.99477821,1758489.83977058,247936.04834651
1621990206,2021-05-26 00:50:06,EOS/USDT,6.41381666,6.41381666,6.41381666,6.41381666,0.0,0.0
1621987200,2021-05-26 00:00:00,EOS/USDT,5.67241845,6.49395522,5.55171726,6.41381666,1084606.10112137,176127.84292908
1621947652,2021-05-25 13:00:52,EOS/USDT,5.69223672,5.69223672,5.69223672,5.69223672,0.0,0.0
1621900800,2021-05-25 00:00:00,EOS/USDT,5.63793103,5.99071971,5.0611,5.69223672,1271152.43779728,230385.94503061
1621814400,2021-05-24 00:00:00,EOS/USDT,4.34126287,5.63768783,4.18385438,5.63768783,2182389.87303543,453842.82182822
1621728000,2021-05-23 00:00:00,EOS/USDT,5.09823344,5.31257638,3.58240088,4.32291728,1751230.65540316,406491.91518908
1621643153,2021-05-22 00:25:53,EOS/USDT,5.09499827,5.09499827,5.09499827,5.09499827,0.0,0.0
1621641600,2021-05-22 00:00:00,EOS/USDT,5.57531566,5.66084155,4.916478,5.09499827,995804.89666283,190050.07799324
1621556924,2021-05-21 00:28:44,EOS/USDT,5.55172413,5.55172413,5.55172413,5.55172413,0.0,0.0
1621555200,2021-05-21 00:00:00,EOS/USDT,6.67241379,6.90638411,4.84753638,5.55172413,2786208.88246277,484587.44350639
1621468800,2021-05-20 00:00:00,EOS/USDT,5.75560823,7.0048846,5.1288549,6.65321764,2131367.50014188,336178.36369668
1621385596,2021-05-19 00:53:16,EOS/USDT,5.688,5.688,5.688,5.688,0.0,0.0
1621382400,2021-05-19 00:00:00,EOS/USDT,9.27307541,9.46999999,4.56252102,5.688,4216461.45322424,588311.87690221
1621297415,2021-05-18 00:23:35,EOS/USDT,9.33169486,9.33169486,9.33169486,9.33169486,0.0,0.0
1621296000,2021-05-18 00:00:00,EOS/USDT,9.15816221,10.01406234,8.95230482,9.33169486,838782.73946729,90336.66207707
1621211380,2021-05-17 00:29:40,EOS/USDT,9.10201768,9.10201768,9.10201768,9.10201768,0.0,0.0
1621209600,2021-05-17 00:00:00,EOS/USDT,10.10495178,10.10625358,8.62352532,9.10201768,1118733.20278135,120651.89287628
1621124723,2021-05-16 00:25:23,EOS/USDT,10.13468856,10.13468856,10.13468856,10.13468856,0.0,0.0
1621123200,2021-05-16 00:00:00,EOS/USDT,10.2945002,11.21346395,9.42263945,10.13468856,1236735.15521539,120756.44598049
1621038740,2021-05-15 00:32:20,EOS/USDT,10.23515994,10.23515994,10.23515994,10.23515994,0.0,0.0
1621036800,2021-05-15 00:00:00,EOS/USDT,11.18883756,11.91371844,10.12368775,10.23515994,1304841.10795066,121621.48015444
1620951834,2021-05-14 00:23:54,EOS/USDT,11.17531477,11.17531477,11.17531477,11.17531477,0.0,0.0
1620950400,2021-05-14 00:00:00,EOS/USDT,10.58742591,11.6510159,10.49363787,11.17531477,976396.32155262,88279.29805128
1620865472,2021-05-13 00:24:32,EOS/USDT,10.63500537,10.63500537,10.63500537,10.63500537,0.0,0.0
1620864000,2021-05-13 00:00:00,EOS/USDT,10.40308383,12.0,9.45,10.63500537,2692739.46217455,256470.55012539
1620780192,2021-05-12 00:43:12,EOS/USDT,10.40308383,10.40308383,10.40308383,10.40308383,0.0,0.0
1620777600,2021-05-12 00:00:00,EOS/USDT,14.503881,14.86292357,10.19,10.40308383,3707119.22290907,300548.01714557
1620692647,2021-05-11 00:24:07,EOS/USDT,14.5,14.5,14.5,14.5,0.0,0.0
1620691200,2021-05-11 00:00:00,EOS/USDT,9.2454352,14.5,8.8,14.5,3569488.62145435,318149.58052159
1620606176,2021-05-10 00:22:56,EOS/USDT,9.24641797,9.24641797,9.24641797,9.24641797,0.0,0.0
1620604800,2021-05-10 00:00:00,EOS/USDT,10.51434169,10.97308095,8.31767961,9.24641797,2609527.27303533,262244.40707589
1620519857,2021-05-09 00:24:17,EOS/USDT,10.50433946,10.50433946,10.50433946,10.50433946,0.0,0.0
1620518400,2021-05-09 00:00:00,EOS/USDT,10.3352552,11.080436,9.13838771,10.50433946,3026260.44655562,304116.06884403
1620433646,2021-05-08 00:27:26,EOS/USDT,10.32611713,10.32611713,10.32611713,10.32611713,0.0,0.0
1620432000,2021-05-08 00:00:00,EOS/USDT,10.38698319,11.17596296,9.62362977,10.32611713,2545466.81839818,248931.11296418
1620347065,2021-05-07 00:24:25,EOS/USDT,10.39065813,10.39065813,10.39065813,10.39065813,0.0,0.0
1620345600,2021-05-07 00:00:00,EOS/USDT,11.48546362,13.23031268,9.58304312,10.39065813,2268637.5528221,205049.49701142
1620260622,2021-05-06 00:23:42,EOS/USDT,11.4723679,11.4723679,11.4723679,11.4723679,0.0,0.0
1620259200,2021-05-06 00:00:00,EOS/USDT,8.77069358,12.8,8.42,11.4723679,3324711.39690511,312167.5660412
1620174962,2021-05-05 00:36:02,EOS/USDT,8.77534353,8.77534353,8.77534353,8.77534353,0.0,0.0
1620172800,2021-05-05 00:00:00,EOS/USDT,6.33260233,8.82541675,6.20812238,8.77534353,1245444.08833466,161785.85769497
